tarefa,categoria
Limpar as dobrinhas dos joelhos do bebê,Cuidados com Bebês Recém-Nascidos
Limpar as dobrinhas dos cotovelos do bebê,Cuidados com Bebês Recém-Nascidos
Secar bem as dobrinhas do bebê após o banho,Cuidados com Bebês Recém-Nascidos
Passar talco nas dobrinhas (se recomendado pelo pediatra),Cuidados com Bebês Recém-Nascidos
Verificar a limpeza atrás das orelhas,Cuidados com Bebês Recém-Nascidos
Limpar a gengiva do bebê com gaze úmida,Cuidados com Bebês Recém-Nascidos
Escovar os primeiros dentes (quando nascerem),Cuidados com Bebês Recém-Nascidos
Usar escova de dentes de dedo,Cuidados com Bebês Recém-Nascidos
Verificar a necessidade de cortar as unhas dos pés,Cuidados com Bebês Recém-Nascidos
Verificar a necessidade de cortar as unhas das mãos,Cuidados com Bebês Recém-Nascidos
Lavar a cabeça do bebê com cuidado,Cuidados com Bebês Recém-Nascidos
Enxaguar bem o cabelo do bebê,Cuidados com Bebês Recém-Nascidos
Secar o cabelo do bebê delicadamente,Cuidados com Bebês Recém-Nascidos
Trocar a roupa de cama do bebê,Cuidados com Bebês Recém-Nascidos
Lavar as roupas do bebê separadamente,Cuidados com Bebês Recém-Nascidos
Usar sabão neutro para lavar roupas do bebê,Cuidados com Bebês Recém-Nascidos
Não usar amaciante com cheiro forte nas roupas do bebê,Cuidados com Bebês Recém-Nascidos
Passar as roupas do bebê (se necessário),Cuidados com Bebês Recém-Nascidos
Organizar as roupas limpas do bebê,Cuidados com Bebês Recém-Nascidos
Limpar o trocador após cada uso,Cuidados com Bebês Recém-Nascidos
Desinfetar o trocador periodicamente,Cuidados com Bebês Recém-Nascidos
Manter o cesto de lixo de fraldas fechado,Cuidados com Bebês Recém-Nascidos
Esvaziar o cesto de lixo de fraldas diariamente,Cuidados com Bebês Recém-Nascidos
Limpar a banheira do bebê após o uso,Cuidados com Bebês Recém-Nascidos
Desinfetar a banheira do bebê periodicamente,Cuidados com Bebês Recém-Nascidos
Manter os produtos de higiene do bebê organizados,Cuidados com Bebês Recém-Nascidos
Verificar a validade dos produtos de higiene,Cuidados com Bebês Recém-Nascidos
Oferecer o primeiro seio até esvaziar,Cuidados com Bebês Recém-Nascidos
Oferecer o segundo seio se o bebê ainda mostrar fome,Cuidados com Bebês Recém-Nascidos
Alternar o seio inicial em cada mamada,Cuidados com Bebês Recém-Nascidos
Verificar se o bebê está mamando ativamente (engolindo),Cuidados com Bebês Recém-Nascidos
Evitar horários fixos para amamentar (livre demanda),Cuidados com Bebês Recém-Nascidos
Observar a quantidade de fraldas molhadas e sujas,Cuidados com Bebês Recém-Nascidos
Manter um ambiente tranquilo para amamentar,Cuidados com Bebês Recém-Nascidos
Evitar distrações durante a mamada,Cuidados com Bebês Recém-Nascidos
Usar almofada de amamentação para conforto,Cuidados com Bebês Recém-Nascidos
Beber um copo de água antes ou durante a mamada,Cuidados com Bebês Recém-Nascidos
Comer alimentos nutritivos para manter a produção de leite,Cuidados com Bebês Recém-Nascidos
Evitar alimentos que possam causar cólica no bebê (se observado),Cuidados com Bebês Recém-Nascidos
Extrair leite materno para armazenamento,Cuidados com Bebês Recém-Nascidos
Armazenar leite materno em recipientes esterilizados,Cuidados com Bebês Recém-Nascidos
Etiquetar o leite materno com data e hora da extração,Cuidados com Bebês Recém-Nascidos
Descongelar leite materno em banho-maria ou geladeira,Cuidados com Bebês Recém-Nascidos
Não re-congelar leite materno descongelado,Cuidados com Bebês Recém-Nascidos
Oferecer leite materno descongelado em copinho ou colher (se amamentação exclusiva),Cuidados com Bebês Recém-Nascidos
Limpar a bomba tira-leite após cada uso,Cuidados com Bebês Recém-Nascidos
Esterilizar as peças da bomba tira-leite,Cuidados com Bebês Recém-Nascidos
Verificar o fluxo da mamadeira,Cuidados com Bebês Recém-Nascidos
Aquecer a fórmula em banho-maria,Cuidados com Bebês Recém-Nascidos
Não aquecer a fórmula no micro-ondas,Cuidados com Bebês Recém-Nascidos
Testar a temperatura da fórmula no pulso,Cuidados com Bebês Recém-Nascidos
Segurar o bebê em posição semi-sentada durante a mamada de fórmula,Cuidados com Bebês Recém-Nascidos
Fazer pausas para o bebê arrotar durante a mamada de fórmula,Cuidados com Bebês Recém-Nascidos
Descartar restos de fórmula após 1 hora,Cuidados com Bebês Recém-Nascidos
Lavar as mãos antes de preparar a fórmula,Cuidados com Bebês Recém-Nascidos
Manter a área de preparo da fórmula limpa,Cuidados com Bebês Recém-Nascidos
Comprar bicos de mamadeira de diferentes fluxos,Cuidados com Bebês Recém-Nascidos
Comprar potes para armazenar leite materno,Cuidados com Bebês Recém-Nascidos
Comprar bomba tira-leite (m7 ou elétrica),Cuidados com Bebês Recém-Nascidos
Comprar escova para limpar mamadeiras,Cuidados com Bebês Recém-Nascidos
Comprar esterilizador de mamadeiras (se não for ferver),Cuidados com Bebês Recém-Nascidos
Consultar o pediatra sobre a melhor fórmula para o bebê,Cuidados com Bebês Recém-Nascidos
Introduzir a fórmula gradualmente (se amamentação mista),Cuidados com Bebês Recém-Nascidos
Observar a reação do bebê à fórmula,Cuidados com Bebês Recém-Nascidos
Observar a duração dos ciclos de sono do bebê,Cuidados com Bebês Recém-Nascidos
Identificar os sinais de cansaço do bebê,Cuidados com Bebês Recém-Nascidos
Colocar o bebê no berço sonolento ; mas acordado,Cuidados com Bebês Recém-Nascidos
Evitar que o bebê durma no colo,Cuidados com Bebês Recém-Nascidos
Criar um ritual de sono (banho;massagem;canção),Cuidados com Bebês Recém-Nascidos
Manter o quarto escuro durante o sono,Cuidados com Bebês Recém-Nascidos
Manter o quarto silencioso durante o sono,Cuidados com Bebês Recém-Nascidos
Usar ruído branco (se o bebê gostar),Cuidados com Bebês Recém-Nascidos
Verificar a posição do bebê durante o sono,Cuidados com Bebês Recém-Nascidos
Não usar travesseiros no berço,Cuidados com Bebês Recém-Nascidos
Não usar protetores de berço acolchoados,Cuidados com Bebês Recém-Nascidos
Manter o colchão do berço firme,Cuidados com Bebês Recém-Nascidos
Manter o berço livre de objetos soltos,Cuidados com Bebês Recém-Nascidos
Oferecer chupeta (se o bebê usar),Cuidados com Bebês Recém-Nascidos
Acordar o bebê para mamar (se necessário ; sob orientação médica),Cuidados com Bebês Recém-Nascidos
Registrar os horários de sono do bebê,Cuidados com Bebês Recém-Nascidos
Registrar a duração do sono do bebê,Cuidados com Bebês Recém-Nascidos
Observar se o bebê está dormindo demais ou de menos,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra sobre problemas de sono,Cuidados com Bebês Recém-Nascidos
Verificar a moleira do bebê,Cuidados com Bebês Recém-Nascidos
Observar a cor da pele do bebê,Cuidados com Bebês Recém-Nascidos
Observar a respiração do bebê,Cuidados com Bebês Recém-Nascidos
Verificar se há secreção nos olhos,Cuidados com Bebês Recém-Nascidos
Verificar se há secreção no nariz,Cuidados com Bebês Recém-Nascidos
Verificar se há tosse,Cuidados com Bebês Recém-Nascidos
Verificar se há espirros,Cuidados com Bebês Recém-Nascidos
Verificar se há chiado no peito,Cuidados com Bebês Recém-Nascidos
Observar a presença de brotoejas,Cuidados com Bebês Recém-Nascidos
Observar a presença de manchas na pele,Cuidados com Bebês Recém-Nascidos
Observar a presença de bolhas na pele,Cuidados com Bebês Recém-Nascidos
Observar a presença de inchaço,Cuidados com Bebês Recém-Nascidos
Observar a presença de vermelhidão,Cuidados com Bebês Recém-Nascidos
Observar a presença de coceira,Cuidados com Bebês Recém-Nascidos
Observar a presença de choro excessivo,Cuidados com Bebês Recém-Nascidos
Observar a presença de irritabilidade,Cuidados com Bebês Recém-Nascidos
Observar a presença de sonolência excessiva,Cuidados com Bebês Recém-Nascidos
Observar a presença de recusa alimentar,Cuidados com Bebês Recém-Nascidos
Observar a presença de vômitos frequentes,Cuidados com Bebês Recém-Nascidos
Observar a presença de diarreia,Cuidados com Bebês Recém-Nascidos
Observar a presença de constipação,Cuidados com Bebês Recém-Nascidos
Observar a presença de sangue nas fezes,Cuidados com Bebês Recém-Nascidos
Observar a presença de muco nas fezes,Cuidados com Bebês Recém-Nascidos
Observar a presença de febre,Cuidados com Bebês Recém-Nascidos
Medir a temperatura retal (se necessário),Cuidados com Bebês Recém-Nascidos
Medir a temperatura axilar,Cuidados com Bebês Recém-Nascidos
Manter o bebê aquecido em caso de febre,Cuidados com Bebês Recém-Nascidos
Oferecer líquidos em caso de febre,Cuidados com Bebês Recém-Nascidos
Não agasalhar demais o bebê em caso de febre,Cuidados com Bebês Recém-Nascidos
Fazer compressas mornas em caso de febre,Cuidados com Bebês Recém-Nascidos
Administrar antitérmico (se prescrito),Cuidados com Bebês Recém-Nascidos
Consultar o pediatra imediatamente em caso de febre alta,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de convulsão febril,Cuidados com Bebês Recém-Nascidos
Manter a calma em situações de emergência,Cuidados com Bebês Recém-Nascidos
Ter os contatos de emergência à mão,Cuidados com Bebês Recém-Nascidos
Saber realizar manobras de desengasgo,Cuidados com Bebês Recém-Nascidos
Fazer curso de primeiros socorros para bebês,Cuidados com Bebês Recém-Nascidos
Verificar a validade do soro fisiológico,Cuidados com Bebês Recém-Nascidos
Verificar a validade dos remédios para cólica,Cuidados com Bebês Recém-Nascidos
Verificar a validade dos remédios para gases,Cuidados com Bebês Recém-Nascidos
Manter os medicamentos fora do alcance do bebê,Cuidados com Bebês Recém-Nascidos
Manter a casa segura para o bebê,Cuidados com Bebês Recém-Nascidos
Proteger tomadas,Cuidados com Bebês Recém-Nascidos
Colocar protetores de quina em móveis,Cuidados com Bebês Recém-Nascidos
Manter produtos de limpeza e químicos fora do alcance,Cuidados com Bebês Recém-Nascidos
Instalar grades de proteção em escadas,Cuidados com Bebês Recém-Nascidos
Manter janelas e portas seguras,Cuidados com Bebês Recém-Nascidos
Não deixar o bebê sozinho em locais altos,Cuidados com Bebês Recém-Nascidos
Não deixar o bebê sozinho com animais de estimação,Cuidados com Bebês Recém-Nascidos
Não deixar o bebê sozinho com crianças pequenas,Cuidados com Bebês Recém-Nascidos
Observar a resposta do bebê a sons,Cuidados com Bebês Recém-Nascidos
Observar a resposta do bebê a luzes,Cuidados com Bebês Recém-Nascidos
Observar a resposta do bebê a toques,Cuidados com Bebês Recém-Nascidos
Colocar o bebê em diferentes posições (sempre supervisionado),Cuidados com Bebês Recém-Nascidos
Estimular o bebê a alcançar objetos,Cuidados com Bebês Recém-Nascidos
Estimular o bebê a segurar objetos,Cuidados com Bebês Recém-Nascidos
Fazer sons engraçados para o bebê,Cuidados com Bebês Recém-Nascidos
Imitar as expressões faciais do bebê,Cuidados com Bebês Recém-Nascidos
Fazer cócegas suaves no bebê,Cuidados com Bebês Recém-Nascidos
Brincar de esconde-esconde com o bebê (com as mãos),Cuidados com Bebês Recém-Nascidos
Colocar o bebê em frente ao espelho,Cuidados com Bebês Recém-Nascidos
Descrever as cores dos objetos para o bebê,Cuidados com Bebês Recém-Nascidos
Descrever as formas dos objetos para o bebê,Cuidados com Bebês Recém-Nascidos
Descrever os tamanhos dos objetos para o bebê,Cuidados com Bebês Recém-Nascidos
Cantar músicas com gestos para o bebê,Cuidados com Bebês Recém-Nascidos
Balançar o bebê suavemente,Cuidados com Bebês Recém-Nascidos
Fazer movimentos de bicicleta com as pernas do bebê,Cuidados com Bebês Recém-Nascidos
Estimular o bebê a rolar,Cuidados com Bebês Recém-Nascidos
Estimular o bebê a sentar (com apoio),Cuidados com Bebês Recém-Nascidos
Estimular o bebê a engatinhar,Cuidados com Bebês Recém-Nascidos
Estimular o bebê a ficar de pé (com apoio),Cuidados com Bebês Recém-Nascidos
Estimular o bebê a andar (com apoio),Cuidados com Bebês Recém-Nascidos
Oferecer brinquedos de diferentes texturas,Cuidados com Bebês Recém-Nascidos
Oferecer brinquedos de diferentes sons,Cuidados com Bebês Recém-Nascidos
Oferecer brinquedos de diferentes cores,Cuidados com Bebês Recém-Nascidos
Oferecer brinquedos de diferentes formas,Cuidados com Bebês Recém-Nascidos
Levar o bebê para passear em ambientes diferentes,Cuidados com Bebês Recém-Nascidos
Permitir que o bebê explore o ambiente de forma segura,Cuidados com Bebês Recém-Nascidos
Observar a interação do bebê com outros bebês,Cuidados com Bebês Recém-Nascidos
Participar de grupos de mães e bebês,Cuidados com Bebês Recém-Nascidos
Estimular a coordenação olho-mão do bebê,Cuidados com Bebês Recém-Nascidos
Estimular a coordenação motora fina do bebê,Cuidados com Bebês Recém-Nascidos
Estimular a coordenação motora grossa do bebê,Cuidados com Bebês Recém-Nascidos
Fazer massagem nos pés do bebê,Cuidados com Bebês Recém-Nascidos
Fazer massagem nas mãos do bebê,Cuidados com Bebês Recém-Nascidos
Fazer massagem na barriga do bebê (para cólica),Cuidados com Bebês Recém-Nascidos
Limpar o umbigo do bebê com cotonete e álcool 70%,Cuidados com Bebês Recém-Nascidos
Secar o umbigo do bebê com gaze estéril,Cuidados com Bebês Recém-Nascidos
Observar se o umbigo está vermelho ou com secreção,Cuidados com Bebês Recém-Nascidos
Dobrar a fralda abaixo do umbigo,Cuidados com Bebês Recém-Nascidos
Limpar a língua do bebê com gaze e água filtrada,Cuidados com Bebês Recém-Nascidos
Verificar a presença de sapinho na boca do bebê,Cuidados com Bebês Recém-Nascidos
Limpar o nariz do bebê com cotonete umedecido em soro,Cuidados com Bebês Recém-Nascidos
Remover crostas de leite do couro cabeludo,Cuidados com Bebês Recém-Nascidos
Usar óleo mineral para remover crostas de leite,Cuidados com Bebês Recém-Nascidos
Enxaguar bem o sabonete do corpo do bebê,Cuidados com Bebês Recém-Nascidos
Secar o bebê com toques suaves,Cuidados com Bebês Recém-Nascidos
Vestir o bebê com roupas limpas e secas,Cuidados com Bebês Recém-Nascidos
Trocar a fralda imediatamente após evacuar,Cuidados com Bebês Recém-Nascidos
Trocar a fralda a cada 2-3 horas,Cuidados com Bebês Recém-Nascidos
Verificar a umidade da fralda,Cuidados com Bebês Recém-Nascidos
Manter o bebê limpo e seco,Cuidados com Bebês Recém-Nascidos
Oferecer o seio esquerdo primeiro na próxima mamada,Cuidados com Bebês Recém-Nascidos
Oferecer o seio direito primeiro na próxima mamada,Cuidados com Bebês Recém-Nascidos
Verificar se o bebê está sugando de forma eficaz,Cuidados com Bebês Recém-Nascidos
Observar se o bebê está fazendo barulho de sucção,Cuidados com Bebês Recém-Nascidos
Verificar se o bebê está com a boca bem aberta,Cuidados com Bebês Recém-Nascidos
Verificar se o lábio inferior do bebê está evertido,Cuidados com Bebês Recém-Nascidos
Verificar se o queixo do bebê está tocando o seio,Cuidados com Bebês Recém-Nascidos
Verificar se a aréola está mais visível acima da boca do bebê,Cuidados com Bebês Recém-Nascidos
